trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-110.21834385665987,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-79.29918354401015,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-94.53107666026716,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-64.29261992378258,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-161.2653194584823,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-105.9910859132995,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-123.32846094887286,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-109.03834127967329,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",30,17,-38.17593745983877,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,5,-3.4097901051556154,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-99.56461602577168,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-111.58964641268992,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",30,0,-191.88011499250803,"{0: 16, 1: 6, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-52.32864129844084,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",30,0,-129.4726681697437,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-141.5068276697829,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",30,13,-138.03947035473902,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 3}",1
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-134.76608639381544,"{0: 8, 1: 1, 2: 10, 3: 0, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",35,7,-38.12784108054559,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 0}",1
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",30,0,-108.80021240940039,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-85.33261652470786,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-112.01417144637537,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",30,4,-40.646976063969824,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 1}",1
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",35,0,-52.1294200380968,"{0: 25, 1: 5, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-58.078798968792285,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-52.514843552030484,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",1
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-83.71899801220664,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,20,7.305324311385082,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",30,0,-106.03258559600197,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-36.7557910879447,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,0,-101.12598617858262,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-77.01218490868133,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-110.62374137542112,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,0,-318.2985682128883,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 7}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-43.5934295729536,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",25,0,-154.5993327325918,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,0,-63.75361871354148,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,0,-84.91587413828378,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-81.84956638967012,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",25,0,-193.5601944913206,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
