trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.4965853037914095}",30,0,-148.57788239062103,"{0: 22, 1: 0, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.7, 'e': 0.2465969639416065}",20,0,-3.9433583696932613,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
3,False,"{'a': 0.7, 'e': 0.12245642825298195}",20,0,-8.775646012300736,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.7, 'e': 0.06081006262521797}",20,0,-21.1053997140939,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.0301973834223185}",25,0,29.56351505582433,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0.014995576820477717}",30,9,24.00543094524377,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.7, 'e': 0.007446583070924344}",20,0,-55.85245163654061,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
8,False,"{'a': 0.7, 'e': 0.003697863716482932}",25,0,-8.942199310871045,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.0018363047770289071}",25,15,16.8804733060981,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.7, 'e': 0.0009118819655545162}",20,16,8.889544909372805,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.7, 'e': 0.0004528271828867974}",20,0,19.00791426278799,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.0002248673241788486}",20,5,9.76514467023738,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.7, 'e': 0.00011166580849011478}",30,7,43.220223472269495,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.7, 'e': 5.545159943217704e-05}",20,10,15.488084926905575,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.7, 'e': 2.7536449349747158e-05}",30,15,19.64349715415879,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.7, 'e': 1.3674196065680964e-05}",20,14,9.455215862813132,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 6.790404807379483e-06}",20,10,14.986612453454145,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.7, 'e': 3.3720152341391845e-06}",20,0,32.17025860623071,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.7, 'e': 1.674493209434269e-06}",25,0,36.06803831166511,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.7, 'e': 8.315287191035679e-07}",25,15,17.230618762336245,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,2,1.1343038689480602,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,16,14.66289763789873,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,16,10.930156433567205,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,11,-42.96428226857874,"{0: 11, 1: 0, 2: 0, 3: 3, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,5,31.693047600287088,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,10,26.13457293388298,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,17,14.039701540021941,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,12,13.523510492209004,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,1,15.869060411740941,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,11,18.510439418307328,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,3,30.509864302759972,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
