trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9048374180359595}",20,0,-117.82458645258646,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.8187307530779818}",20,0,-100.73467557331168,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.7408182206817179}",30,0,-191.9397213575779,"{0: 16, 1: 6, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.1, 'e': 0.6703200460356393}",20,0,-70.33835305623077,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.6065306597126334}",25,0,-50.143682175989255,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.1, 'e': 0.5488116360940264}",20,0,5.834816518135491,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.49658530379140947}",30,15,-21.100442281584325,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.1, 'e': 0.44932896411722156}",30,0,-14.489875301654152,"{0: 24, 1: 4, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.1, 'e': 0.4065696597405991}",30,0,-106.72677010727053,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.36787944117144233}",25,0,4.107844943988402,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
11,False,"{'a': 0.1, 'e': 0.33287108369807955}",20,0,22.49752569438902,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.301194211912202}",25,8,-0.5117672525565555,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.1, 'e': 0.2725317930340126}",20,14,-2.526251927894137,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.1, 'e': 0.24659696394160643}",35,11,-2.740749219093182,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.1, 'e': 0.22313016014842982}",20,11,1.3314665771607228,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.20189651799465538}",35,25,20.874100819898167,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.1, 'e': 0.1826835240527346}",20,16,6.691857504860104,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.1, 'e': 0.16529888822158653}",25,2,31.120065973515008,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.1, 'e': 0.14956861922263504}",30,18,12.992936874993072,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.1, 'e': 0.1353352832366127}",25,13,13.727347143094047,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.1, 'e': 0.1224564282529819}",20,11,14.05896229189019,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.1, 'e': 0.11080315836233387}",20,14,-1.6184752322083822,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.1, 'e': 0.1002588437228037}",20,8,22.243512708005056,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.1, 'e': 0.09071795328941247}",20,0,21.7023502491045,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.1, 'e': 0.0820849986238988}",25,13,18.359722374981292,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.1, 'e': 0.07427357821433388}",25,18,15.226561717253961,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.1, 'e': 0.06720551273974976}",20,0,27.797152760242827,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.1, 'e': 0.06081006262521795}",25,2,39.80234278826716,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.1, 'e': 0.05502322005640721}",20,0,27.66917688061528,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.1, 'e': 0.049787068367863944}",30,14,9.535137245741193,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
31,False,"{'a': 0.1, 'e': 0.0450492023935578}",20,0,-4.906498939317223,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
32,False,"{'a': 0.1, 'e': 0.04076220397836621}",25,2,28.496789402437223,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
