trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.7}",20,0,-59.57239711188921,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.7, 'e': 0.48999999999999994}",25,12,-0.9000209527506495,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,False,"{'a': 0.7, 'e': 0.3429999999999999}",25,0,-55.86423738000707,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.24009999999999995}",30,9,-105.98352535460101,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 2}",1
5,False,"{'a': 0.7, 'e': 0.16806999999999994}",20,11,-44.26656784268445,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.7, 'e': 0.11764899999999996}",25,14,-18.69738352249783,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.7, 'e': 0.08235429999999996}",25,0,-25.876480923255777,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.05764800999999997}",20,0,22.406565467893685,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.04035360699999998}",20,0,-24.096628279721084,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.02824752489999998}",20,0,-10.979581662296152,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.019773267429999988}",25,0,-59.52570683915988,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.7, 'e': 0.01384128720099999}",25,0,-14.146221364781987,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.7, 'e': 0.009688901040699992}",25,17,10.62644646067402,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.7, 'e': 0.006782230728489994}",25,0,35.75895979301496,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.004747561509942996}",20,0,25.644512360702812,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.7, 'e': 0.0033232930569600965}",20,0,19.77898691568283,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.0023263051398720674}",20,5,25.464723786438455,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.7, 'e': 0.001628413597910447}",25,0,30.98420807614247,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.001139889518537313}",20,6,26.427694876215217,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.7, 'e': 0.0007979226629761189}",25,7,26.56808826584356,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.0005585458640832833}",20,0,10.033312538516201,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
