trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.99}",20,0,-52.53041627725971,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.99, 'e': 0.9801}",25,0,-125.26391016099035,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
3,False,"{'a': 0.99, 'e': 0.970299}",30,0,-219.10641901511016,"{0: 19, 1: 0, 2: 6, 3: 1, 4: 4}",0
4,False,"{'a': 0.99, 'e': 0.96059601}",25,0,-61.39575343135329,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.99, 'e': 0.9509900498999999}",25,13,-130.94949842444194,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 3}",1
6,False,"{'a': 0.99, 'e': 0.941480149401}",25,0,-107.64645043763392,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.99, 'e': 0.9320653479069899}",20,0,-105.88413248665006,"{0: 9, 1: 7, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.99, 'e': 0.9227446944279201}",20,0,-69.05811865584351,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
9,False,"{'a': 0.99, 'e': 0.9135172474836408}",20,14,9.133419374505912,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.99, 'e': 0.9043820750088044}",20,0,-165.3487354772461,"{0: 7, 1: 6, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.99, 'e': 0.8953382542587164}",25,0,-187.32853754057118,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
12,False,"{'a': 0.99, 'e': 0.8863848717161292}",20,7,-104.27264553196592,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 2}",1
13,False,"{'a': 0.99, 'e': 0.8775210229989678}",20,5,-81.1368151304231,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
14,False,"{'a': 0.99, 'e': 0.8687458127689782}",30,0,-112.97312878974752,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.99, 'e': 0.8600583546412884}",20,0,-102.77709228809891,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.99, 'e': 0.8514577710948755}",20,0,-21.100305956169326,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.99, 'e': 0.8429431933839268}",25,0,-142.2920725229999,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
18,False,"{'a': 0.99, 'e': 0.8345137614500875}",20,0,-64.06460609485966,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.99, 'e': 0.8261686238355866}",30,19,-20.336250606866866,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
20,False,"{'a': 0.99, 'e': 0.8179069375972308}",25,0,-129.90774377459368,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.99, 'e': 0.8097278682212584}",25,9,-124.14108853212012,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 3}",1
22,False,"{'a': 0.99, 'e': 0.8016305895390459}",25,0,-106.71684730440055,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
23,False,"{'a': 0.99, 'e': 0.7936142836436554}",35,0,-93.98889426289738,"{0: 24, 1: 4, 2: 6, 3: 0, 4: 1}",0
24,False,"{'a': 0.99, 'e': 0.7856781408072188}",25,0,-94.72809800656651,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
25,False,"{'a': 0.99, 'e': 0.7778213593991467}",35,5,-84.38134360334332,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",1
26,False,"{'a': 0.99, 'e': 0.7700431458051551}",20,0,-147.28237115928206,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
27,False,"{'a': 0.99, 'e': 0.7623427143471035}",20,0,-20.288538322582475,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
28,False,"{'a': 0.99, 'e': 0.7547192872036326}",20,0,-11.319370445314537,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
29,False,"{'a': 0.99, 'e': 0.7471720943315961}",20,12,-8.217212270897189,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.99, 'e': 0.7397003733882802}",30,0,-105.77178063422883,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
31,False,"{'a': 0.99, 'e': 0.7323033696543975}",20,0,-70.43617594635562,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
32,False,"{'a': 0.99, 'e': 0.7249803359578534}",25,0,-108.11528111842686,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 2}",0
33,False,"{'a': 0.99, 'e': 0.7177305325982749}",20,0,-55.442598690547015,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.99, 'e': 0.7105532272722921}",20,4,5.666277998109404,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.99, 'e': 0.7034476949995692}",30,0,-175.72193950918356,"{0: 22, 1: 3, 2: 0, 3: 1, 4: 4}",0
36,False,"{'a': 0.99, 'e': 0.6964132180495735}",25,16,12.391822018214118,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.99, 'e': 0.6894490858690777}",30,0,-166.12602710470406,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 4}",0
38,False,"{'a': 0.99, 'e': 0.682554595010387}",20,0,-101.58547223735809,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
