trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",35,0,-200.59356655759268,"{0: 21, 1: 1, 2: 10, 3: 0, 4: 3}",0
2,False,"{'a': 0.7, 'e': 0.25}",25,0,-68.64599614853606,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.1111111111111111}",20,0,-97.33906408303619,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.0625}",20,0,15.301467556964479,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.04}",30,7,-1.6807614037359788,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 0}",1
6,False,"{'a': 0.7, 'e': 0.027777777777777776}",30,18,23.027443790508535,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.7, 'e': 0.02040816326530612}",35,24,-22.196113246091485,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.7, 'e': 0.015625}",25,0,5.968372235357517,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.012345679012345678}",20,9,-5.059639997210447,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.7, 'e': 0.01}",20,16,6.471093079630805,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.7, 'e': 0.008264462809917356}",20,0,-17.775540033581464,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.006944444444444444}",20,0,20.684007428969547,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.005917159763313609}",25,14,-25.577865685299518,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.7, 'e': 0.00510204081632653}",20,14,7.78038410316505,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.7, 'e': 0.0044444444444444444}",25,13,16.66642871953039,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.7, 'e': 0.00390625}",25,12,21.38284595262125,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.0034602076124567475}",30,10,29.279248654627224,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.7, 'e': 0.0030864197530864196}",20,10,20.286749744569256,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.7, 'e': 0.002770083102493075}",25,9,24.250292563858938,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.7, 'e': 0.0025}",20,2,24.11928191881431,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.0022675736961451248}",30,19,20.767824895089994,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.7, 'e': 0.002066115702479339}",20,2,26.282797168980775,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.7, 'e': 0.001890359168241966}",20,10,17.744604557912762,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.7, 'e': 0.001736111111111111}",30,20,23.81329548300581,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.7, 'e': 0.0016}",20,0,36.302398965707155,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.7, 'e': 0.0014792899408284023}",20,0,24.53810061965128,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.7, 'e': 0.0013717421124828531}",25,11,23.254565579566563,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.7, 'e': 0.0012755102040816326}",20,6,21.494954970370117,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.7, 'e': 0.0011890606420927466}",20,10,15.074091896779535,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.7, 'e': 0.0011111111111111111}",20,10,17.352652325021715,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.7, 'e': 0.001040582726326743}",25,18,9.392014430259856,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.7, 'e': 0.0009765625}",20,2,23.37954746857001,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.7, 'e': 0.0009182736455463728}",20,0,3.0327253700972263,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
34,False,"{'a': 0.7, 'e': 0.0008650519031141869}",25,14,19.076340399339824,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.7, 'e': 0.0008163265306122449}",20,8,21.127769211789477,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.7, 'e': 0.0007716049382716049}",30,11,33.22726025966765,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.7, 'e': 0.0007304601899196494}",30,3,37.63214353118323,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.7, 'e': 0.0006925207756232687}",20,0,22.796446870471577,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.7, 'e': 0.0006574621959237344}",30,0,38.03426556877468,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.7, 'e': 0.000625}",30,6,12.388400822852896,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
41,False,"{'a': 0.7, 'e': 0.000594883997620464}",20,12,13.976622865762847,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.7, 'e': 0.0005668934240362812}",20,0,27.824235583859156,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.7, 'e': 0.0005408328826392645}",30,11,30.5547099352502,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.7, 'e': 0.0005165289256198347}",20,0,32.87130403591988,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.7, 'e': 0.0004938271604938272}",20,12,14.697853251013496,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.0004725897920604915}",20,9,20.256066043791133,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.0004526935264825713}",20,4,25.470638252160136,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.7, 'e': 0.00043402777777777775}",25,19,10.403105773477767,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.7, 'e': 0.00041649312786339027}",25,18,12.8831193913608,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.7, 'e': 0.0004}",30,12,34.20520175048135,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.7, 'e': 0.00038446751249519417}",20,1,27.243699017953613,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.7, 'e': 0.0003698224852071006}",25,0,37.87113221609545,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.7, 'e': 0.000355998576005696}",25,15,19.359593094673002,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.7, 'e': 0.0003429355281207133}",25,2,37.09220663476495,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.7, 'e': 0.00033057851239669424}",20,9,19.157681865779423,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.00031887755102040814}",30,18,23.24319357998322,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.7, 'e': 0.0003077870113881194}",20,0,24.17432989597317,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.7, 'e': 0.00029726516052318666}",20,13,15.30028416211174,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.7, 'e': 0.0002872737719046251}",30,13,25.617368320673556,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.7, 'e': 0.0002777777777777778}",30,13,25.224412631965826,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.7, 'e': 0.0002687449610319806}",25,0,38.865451775572495,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.7, 'e': 0.00026014568158168577}",20,0,29.92613302988798,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.7, 'e': 0.0002519526329050139}",20,7,24.625129575719594,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.000244140625}",20,7,21.003500396095966,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.7, 'e': 0.00023668639053254438}",20,8,25.208045916006927,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.7, 'e': 0.0002295684113865932}",25,0,43.51567034768496,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.7, 'e': 0.00022276676319893073}",25,9,23.376140568149346,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.7, 'e': 0.00021626297577854672}",25,6,27.036735843186083,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.7, 'e': 0.00021003990758244065}",30,13,22.990899049043886,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.7, 'e': 0.00020408163265306123}",20,0,26.275864791242856,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.7, 'e': 0.00019837333862328903}",20,0,31.316524623386176,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.7, 'e': 0.00019290123456790122}",20,6,26.23218655728319,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.7, 'e': 0.00018765246762994934}",20,7,15.185389601424014,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.7, 'e': 0.00018261504747991235}",25,6,31.32223836893354,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.7, 'e': 0.00017777777777777779}",25,14,17.102301061227948,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.7, 'e': 0.00017313019390581717}",20,3,23.97281161786968,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.7, 'e': 0.00016866250632484398}",35,13,35.655833539106,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.7, 'e': 0.0001643655489809336}",35,0,18.981631700020852,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
79,False,"{'a': 0.7, 'e': 0.0001602307322544464}",20,10,13.573202067899867,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.7, 'e': 0.00015625}",25,0,26.25650145184646,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.7, 'e': 0.00015241579027587258}",20,0,29.531757130799736,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.7, 'e': 0.000148720999405116}",30,0,36.960641212040166,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.7, 'e': 0.00014515894904920887}",20,9,22.711580935933807,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.7, 'e': 0.0001417233560090703}",25,11,28.261934521369735,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.7, 'e': 0.0001384083044982699}",25,11,22.297967141502987,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.7, 'e': 0.00013520822065981613}",25,8,28.499834707284986,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.7, 'e': 0.0001321178491214163}",25,20,9.363297705451767,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.7, 'e': 0.00012913223140495868}",20,15,10.564435178577646,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.7, 'e': 0.00012624668602449185}",25,15,18.441250479950885,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.7, 'e': 0.0001234567901234568}",25,12,16.314826045203716,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.7, 'e': 0.00012075836251660427}",20,11,12.524979405003899,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.7, 'e': 0.00011814744801512288}",30,16,24.437390329496218,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.7, 'e': 0.00011562030292519366}",25,15,15.914683650112435,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.7, 'e': 0.00011317338162064282}",20,6,28.487846992747507,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.7, 'e': 0.00011080332409972299}",25,5,29.420465412820242,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.7, 'e': 0.00010850694444444444}",20,8,22.878714506951066,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.7, 'e': 0.00010628122010840685}",25,6,33.757733548098315,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.7, 'e': 0.00010412328196584757}",30,21,16.22592622458022,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.7, 'e': 0.00010203040506070809}",20,8,17.24569344068545,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.7, 'e': 0.0001}",25,7,30.734226900105675,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.7, 'e': 9.802960494069208e-05}",25,13,13.917644520979596,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,20,22.09200404293643,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,20,24.83744181510294,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,18.2246016165044,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,11,14.491619783143536,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,8,22.923314108915612,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,17,21.123157050260684,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,10,16.742738124036045,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,10,18.098750897975084,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,10,32.88051510962842,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,3,21.13120833868746,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",30,19,19.02409142777528,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,8,20.54683511831462,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",30,10,35.338844787764494,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,19,13.197314475472927,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",30,15,24.652279501992655,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,7,31.6582413708844,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",25,11,25.200804623974992,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,15,19.941405039020587,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,5,30.795119365008233,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,15,11.655257484685901,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",20,6,23.21805502422617,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",20,8,16.784659260375385,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",20,6,25.355256079645784,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",25,19,8.68283429384957,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",20,11,15.94176849555871,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",25,2,36.102869750775255,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",25,9,30.20894919555751,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",20,9,14.893962770457533,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",20,6,23.748927979319493,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",30,20,19.164842766469736,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0, 'e': 0}",20,8,22.456151087282507,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0, 'e': 0}",20,15,9.962804051889822,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0, 'e': 0}",25,15,20.021336539897405,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0, 'e': 0}",20,14,11.870007548576524,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0, 'e': 0}",25,3,41.81049959946812,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0, 'e': 0}",20,6,20.983048606502624,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0, 'e': 0}",20,10,13.991835425367817,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0, 'e': 0}",20,10,17.531858220873097,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0, 'e': 0}",20,14,10.29831379687328,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0, 'e': 0}",20,14,7.963341243114717,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
