trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",20,0,-59.04481672334392,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.7, 'e': 0.25}",20,0,-32.99037406420963,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.1111111111111111}",30,0,-78.66963626411746,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.0625}",25,18,-27.980442392496006,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.7, 'e': 0.04}",20,6,20.60700052409868,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.7, 'e': 0.027777777777777776}",30,0,-155.09863834447037,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.7, 'e': 0.02040816326530612}",25,11,9.431304776059664,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.7, 'e': 0.015625}",20,0,22.401255114661875,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.012345679012345678}",30,0,-0.9601950010637028,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.01}",20,0,-56.72873980489438,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
11,False,"{'a': 0.7, 'e': 0.008264462809917356}",20,10,-22.213819384270572,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.7, 'e': 0.006944444444444444}",25,2,8.906974387140831,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.7, 'e': 0.005917159763313609}",20,0,-27.803683313164996,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.7, 'e': 0.00510204081632653}",30,0,32.19629800929943,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.0044444444444444444}",20,12,12.75738036148496,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.7, 'e': 0.00390625}",25,0,26.42699933629189,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.0034602076124567475}",30,0,43.348365494446014,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.7, 'e': 0.0030864197530864196}",20,0,16.793459308714056,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.002770083102493075}",30,0,13.352640777951102,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0.0025}",30,17,13.410824052796816,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.0022675736961451248}",25,12,15.187980316984682,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.7, 'e': 0.002066115702479339}",25,19,12.273261776868102,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.7, 'e': 0.001890359168241966}",20,0,20.178892986317223,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.7, 'e': 0.001736111111111111}",20,12,-28.244105801542815,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
25,False,"{'a': 0.7, 'e': 0.0016}",20,3,20.491639354459444,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.7, 'e': 0.0014792899408284023}",20,14,7.789744321910132,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.7, 'e': 0.0013717421124828531}",25,15,16.10583330859116,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.7, 'e': 0.0012755102040816326}",20,0,22.545604970808817,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.7, 'e': 0.0011890606420927466}",25,9,21.361186529196708,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.7, 'e': 0.0011111111111111111}",30,24,12.916426622690764,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.7, 'e': 0.001040582726326743}",25,11,20.8910785832235,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.7, 'e': 0.0009765625}",25,3,-5.667426358070227,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.7, 'e': 0.0009182736455463728}",25,0,29.902515754047304,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.7, 'e': 0.0008650519031141869}",35,4,31.208484878657497,"{0: 30, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.7, 'e': 0.0008163265306122449}",25,17,14.988873818325722,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.7, 'e': 0.0007716049382716049}",20,0,33.19800662428152,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.7, 'e': 0.0007304601899196494}",20,8,-19.924497380346857,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
38,False,"{'a': 0.7, 'e': 0.0006925207756232687}",20,0,-13.98207497099835,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
39,False,"{'a': 0.7, 'e': 0.0006574621959237344}",20,12,10.902408466128001,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.7, 'e': 0.000625}",20,13,13.288054039336753,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.7, 'e': 0.000594883997620464}",25,0,-21.04835274818922,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
