trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.8441506546951,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.25}",20,10,16.052640697249473,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",30,8,-67.0586283100286,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.0625}",25,0,-0.7966277659451375,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.04}",30,17,-43.84673696287467,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,0,13.921112354944093,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",25,0,-10.054096518074918,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.015625}",20,8,22.45872935790013,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",25,0,-6.201325359168103,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.01}",20,0,4.10049216960271,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",25,13,9.307779611339454,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",20,0,23.968203641273757,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",20,1,-21.86082316007579,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",25,0,27.902994422772846,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",30,0,14.255961859584282,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.00390625}",30,0,-46.428790250307635,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",30,5,41.156536945977365,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",20,0,32.274975559654955,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
