trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-174.94977594519577,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.60005426033688,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.20757084405955,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.44901207025103,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.0311178908891,"{0: 10, 1: 3, 2: 11, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,2,-66.29828316257027,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,3,-25.01072030544208,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.12365750814648,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.58146003920198,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.20656946928472,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.89108581950376,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.84614447670633,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.89556864530455,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.9894975302262,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.2483832127482,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-235.18762364368294,"{0: 20, 1: 3, 2: 8, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.97929191194402,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-57.196076636766634,"{0: 14, 1: 8, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.112623520271704,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.47749932580898,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-108.76741428934992,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.06547310521458,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.11795211640028,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-115.27865444089453,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-99.44375461978991,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-108.27029744284344,"{0: 21, 1: 4, 2: 9, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-196.95243556278112,"{0: 10, 1: 4, 2: 7, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-33.18844521054026,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-106.91730488482693,"{0: 14, 1: 7, 2: 9, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-126.4569586939301,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
