trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-57.76039026611163,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.96686637020392,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-172.0324853132352,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-194.69034202362872,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.79810803352518,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.5482311391469,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-174.40611526344173,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,20,-49.746222851077604,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-209.7315893055652,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 5}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.67999948331709,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.23411177329521,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.74361690110101,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-205.19628882260494,"{0: 7, 1: 3, 2: 6, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.09343587803835,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-45.59503786950461,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-167.49702180105515,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.877658309043966,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.98320827185643,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,10,-49.9244969533175,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,15,-99.60642599330896,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-143.1100718677479,"{0: 17, 1: 4, 2: 14, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-86.46582710161272,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-62.55845602895564,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-166.81081196788773,"{0: 21, 1: 3, 2: 9, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-53.05702354901272,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.49744800841398,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,5,-24.10332550767732,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",30,1,-154.79479075044603,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 2}",1
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-311.30122025041936,"{0: 17, 1: 5, 2: 6, 3: 2, 4: 5}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-211.8148043734941,"{0: 14, 1: 5, 2: 8, 3: 0, 4: 3}",0
